single byte scan codes: E0=0 F0=0 85

0xE0, 0xF0, 0x3F 	(ACPI) sleep released => 152
0xE0, 0xF0, 0x6B 	cursor left released => 153
0xE0, 0xF0, 0x32 	(multimedia) volume up released => 154
0xE0, 0xF0, 0x3A 	(multimedia) WWW home released => 155
0xE0, 0xF0, 0x4A 	(keypad) / released => 156
0xE0, 0xF0, 0x5A 	(keypad) enter released => 157
0xE0, 0xF0, 0x5E 	(ACPI) wake released => 158
0xE0, 0xF0, 0x72 	cursor down released => 159
0xE0, 0xF0, 0x7A 	page down released => 160


double byte F0 scan codes: E0=0 F0=1 85

0xF0, 0x04 	F3 released => 161
0xF0, 0x0C 	F4 released => 162
0xF0, 0x14 	left control released => 163
0xF0, 0x1C 	A released => 164
0xF0, 0x24 	E released => 165
0xF0, 0x2C 	T released => 166
0xF0, 0x34 	G released => 167
0xF0, 0x3C 	U released => 168
0xF0, 0x44 	O released => 169
0xF0, 0x4C 	; released => 170
0xF0, 0x54 	[ released => 171
0xF0, 0x58 	CapsLock released => 172 
0xF0, 0x6C 	(keypad) 7 released => 173
0xF0, 0x70 	(keypad) 0 released => 174
0xF0, 0x74 	(keypad) 6 released => 175
0xF0, 0x78 	F11 released => 176
0xF0, 0x7C 	(keypad) * released => 177
0xF0, 0x01 	F9 released => 178
0xF0, 0x05 	F1 released => 179
0xF0, 0x09 	F10 released => 180
0xF0, 0x0D 	tab released => 181
0xF0, 0x11 	left alt released => 182
0xF0, 0x15 	Q released => 183
0xF0, 0x1D 	W released => 184
0xF0, 0x21 	C released => 185
0xF0, 0x25 	4 released => 186
0xF0, 0x29 	space released => 187
0xF0, 0x2D 	R released => 188
0xF0, 0x31 	N released => 189
0xF0, 0x35 	Y released => 190
0xF0, 0x3D 	7 released => 191
0xF0, 0x41 	, released => 192
0xF0, 0x45 	0 (zero) released => 193 
0xF0, 0x49 	. released => 194
0xF0, 0x4D 	P released => 195
0xF0, 0x55 	#NAME? => 196
0xF0, 0x59 	right shift released => 197
0xF0, 0x5D 	\ released => 198
0xF0, 0x69 	(keypad) 1 released => 199
0xF0, 0x71 	(keypad) . released => 200
0xF0, 0x75 	(keypad) 8 released => 201
0xF0, 0x79 	(keypad) + released => 202
0xF0, 0x7D 	(keypad) 9 released => 203
0xF0, 0x06 	F2 released => 204
0xF0, 0x0A 	F8 released => 205
0xF0, 0x0E 	` (back tick) released => 206
0xF0, 0x12 	left shift released => 207
0xF0, 0x16 	1 released => 208
0xF0, 0x1A 	Z released => 209
0xF0, 0x1E 	2 released => 210
0xF0, 0x22 	X released => 211
0xF0, 0x26 	3 released => 212
0xF0, 0x2A 	V released => 213
0xF0, 0x2E 	5 released => 214
0xF0, 0x32 	B released => 215
0xF0, 0x36 	6 released => 216
0xF0, 0x3A 	M released => 217
0xF0, 0x3E 	8 released => 218
0xF0, 0x42 	K released => 219
0xF0, 0x46 	9 released => 220
0xF0, 0x4A 	/ released => 221
0xF0, 0x4E 	- released => 222
0xF0, 0x52 	' released => 223
0xF0, 0x5A 	enter released => 224
0xF0, 0x66 	backspace released => 225
0xF0, 0x72 	(keypad) 2 released => 226
0xF0, 0x76 	escape released => 227
0xF0, 0x7A 	(keypad) 3 released => 228
0xF0, 0x7E 	ScrollLock released => 229
0xF0, 0x03 	F5 released => 230
0xF0, 0x07 	F12 released => 231
0xF0, 0x0B 	F6 released => 232
0xF0, 0x1B 	S released => 233
0xF0, 0x23 	D released => 234
0xF0, 0x2B 	F released => 235
0xF0, 0x33 	H released => 236
0xF0, 0x3B 	J released => 237
0xF0, 0x43 	I released => 238
0xF0, 0x4B 	L released => 239
0xF0, 0x5B 	] released => 240
0xF0, 0x6B 	(keypad) 4 released => 241
0xF0, 0x73 	(keypad) 5 released => 242
0xF0, 0x77 	NumberLock released => 243
0xF0, 0x7B 	(keypad) - released => 244
0xF0, 0x83 	F7 released => 245


weird E1 scan codes: ???????

0xE1, 0x14, 0x77, 0xE1, 0xF0, 0x14, 0xF0, 0x77 	pause pressed => 246


waird E0 scan codes:

0xE0, 0x12, 0xE0, 0x7C 	print screen pressed => 247
0xE0, 0xF0, 0x7C, 0xE0, 0xF0, 0x12 	print screen released => 248



249 total
